model,provider_family,is_open_source,is_hosted_api,estimated_params_b,estimated_storage_gb,contract_group
DeepHermes-3-Llama-3-8B-Preview,Meta,True,False,0.0,16.0,Meta
DeepSeek-R1-0528-Qwen3-8B,Qwen/Alibaba,True,False,0.0,16.0,Qwen/Alibaba
DeepSeek-R1-Distill-Qwen-7B,Qwen/Alibaba,True,False,0.0,16.0,Qwen/Alibaba
Fin-R1,Other,True,False,0.0,32.0,Other
GLM-Z1-9B-0414,Zhipu,True,False,0.0,32.0,Zhipu
Intern-S1-mini,Other,True,False,0.0,32.0,Other
Llama-3.1-8B-Instruct,Meta,True,False,0.0,16.0,Meta
Llama-3.1-8B-UltraMedical,Meta,True,False,0.0,16.0,Meta
Llama-3.1-Nemotron-Nano-8B-v1,Meta,True,False,0.0,16.0,Meta
MiMo-7B-RL-0530,Other,True,False,0.0,16.0,Other
MiniCPM4.1-8B,Other,True,False,0.0,16.0,Other
NVIDIA-Nemotron-Nano-9B-v2,NVIDIA,True,False,0.0,32.0,NVIDIA
OpenThinker3-7B,Other,True,False,0.0,16.0,Other
Qwen2.5-Coder-7B-Instruct,Qwen/Alibaba,True,False,0.0,16.0,Qwen/Alibaba
Qwen3-8B,Qwen/Alibaba,True,False,0.0,16.0,Qwen/Alibaba
claude-sonnet-4,Anthropic,False,True,0.0,0.0,Anthropic
cogito-v1-preview-llama-8B,Meta,True,False,0.0,16.0,Meta
deepseek-r1-0528,DeepSeek,True,False,0.0,32.0,DeepSeek
deepseek-v3-0324,DeepSeek,True,False,0.0,32.0,DeepSeek
deepseek-v3.1-terminus,DeepSeek,True,False,0.0,32.0,DeepSeek
gemini-2.5-flash,Google,False,True,0.0,0.0,Google
gemini-2.5-pro,Google,False,True,0.0,0.0,Google
gemma-2-9b-it,Other,True,False,0.0,32.0,Other
glm-4-9b-chat,Zhipu,True,False,0.0,32.0,Zhipu
glm-4.6,Zhipu,True,False,0.0,32.0,Zhipu
gpt-5,OpenAI,False,True,0.0,0.0,OpenAI
gpt-5-chat,OpenAI,False,True,0.0,0.0,OpenAI
granite-3.3-8b-instruct,Other,True,False,0.0,16.0,Other
intern-s1,Other,True,False,0.0,32.0,Other
internlm3-8b-instruct,Other,True,False,0.0,16.0,Other
kimi-k2-0905,Other,True,False,0.0,32.0,Other
qwen3-235b-a22b-2507,Qwen/Alibaba,True,False,0.0,32.0,Qwen/Alibaba
qwen3-235b-a22b-thinking-2507,Qwen/Alibaba,True,False,0.0,32.0,Qwen/Alibaba
