prompt_id,domain,model
MMLU-Pro_1001,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_108,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_11,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_118,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_126,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_132,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_152,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_168,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_17,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_213,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_224,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_226,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_233,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_239,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_24,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_264,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_27,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_276,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_294,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_296,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_301,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_323,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_324,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_339,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_35,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_364,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_378,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_380,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_383,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_397,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_424,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_427,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_456,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_47,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_5,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_508,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_51,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_523,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_53,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_534,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_54,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_553,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_588,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_589,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_62,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_64,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_643,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_670,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_684,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_685,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_696,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_77,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_789,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_81,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_83,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_89,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_90,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_95,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_97,MMLU-Pro,deepseek-v3.1-terminus
MMLU-Pro_997,MMLU-Pro,deepseek-v3.1-terminus
