policy,stage,model_usage_entropy,model_usage_gini,top_1_model_share,top_3_model_share,num_active_models,policy_label,grid_id
Always cheapest,single,0.9790690712943904,0.7333333333333334,0.7041666666666667,0.925,8,Always cheapest,
Always best quality,single,2.3532069221671668,0.6779999999999999,0.24166666666666667,0.5875,25,Always best quality,
A0 alpha=0.1,single,1.5864319135571265,0.7902173913043478,0.5875,0.8083333333333333,23,A0 alpha=0.1,
A0 alpha=0.5,single,1.6112036026322063,0.7909722222222222,0.5833333333333334,0.8041666666666667,24,A0 alpha=0.5,
A0 alpha=1,single,1.6112036026322063,0.7909722222222222,0.5833333333333334,0.8041666666666667,24,A0 alpha=1,
A0 alpha=2,single,1.6112036026322063,0.7909722222222222,0.5833333333333334,0.8041666666666667,24,A0 alpha=2,
A0 alpha=5,single,1.6112036026322063,0.7909722222222222,0.5833333333333334,0.8041666666666667,24,A0 alpha=5,
A0 alpha=10,single,1.6112036026322063,0.7909722222222222,0.5833333333333334,0.8041666666666667,24,A0 alpha=10,
A1 K=1 B=0.000420126,single,-0.0,0.0,1.0,1.0,1,A1 K=1 B=0.000420126,
A1 K=1 B=0.000840251,single,-0.0,0.0,1.0,1.0,1,A1 K=1 B=0.000840251,
A1 K=1 B=0.00126038,single,-0.0,0.0,1.0,1.0,1,A1 K=1 B=0.00126038,
A1 K=2 B=0.000420126,single,0.6177606326574299,0.19166666666666665,0.6916666666666667,1.0,2,A1 K=2 B=0.000420126,
A1 K=2 B=0.000840251,single,0.5226565800992218,0.28333333333333344,0.7833333333333333,1.0,2,A1 K=2 B=0.000840251,
A1 K=2 B=0.00126038,single,0.6896709283570267,0.04166666666666674,0.5416666666666666,1.0,2,A1 K=2 B=0.00126038,
A1 K=3 B=0.000420126,single,0.8665113815321595,0.3555555555555556,0.6583333333333333,1.0,3,A1 K=3 B=0.000420126,
A1 K=3 B=0.000840251,single,0.9206594791506639,0.30000000000000004,0.625,1.0,3,A1 K=3 B=0.000840251,
A1 K=3 B=0.00126038,single,1.030469740512202,0.18888888888888888,0.4583333333333333,1.0,3,A1 K=3 B=0.00126038,
A1 K=5 B=0.000420126,single,1.0418971651822906,0.5333333333333334,0.6833333333333333,0.8875000000000001,5,A1 K=5 B=0.000420126,
A1 K=5 B=0.000840251,single,1.5623800909005554,0.16000000000000014,0.275,0.7166666666666667,5,A1 K=5 B=0.000840251,
A1 K=5 B=0.00126038,single,1.54877628044665,0.18666666666666676,0.2833333333333333,0.75,5,A1 K=5 B=0.00126038,
A2 K=5 B=0.000840251 Emax=0.75,stage1,1.3404998512934283,0.3900000000000001,0.5,0.8333333333333334,5,A2 K=5 B=0.000840251 Emax=0.75,
A2 K=5 B=0.000840251 Emax=0.75,expected_stage2,0.0,0.0,0.0,0.0,0,A2 K=5 B=0.000840251 Emax=0.75,
A3|K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,stage1,1.0202871202035577,0.5516666666666667,0.6833333333333333,0.9,5,A3 K=5 B=0.000840251 Emax=0.75,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75
A3|K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75,expected_stage2,0.0,0.0,0.0,0.0,0,A3 K=5 B=0.000840251 Emax=0.75,K=5|budget=B_mid|Emax=0.75|floor=0.85|lambda=0.1|rho=0.75
