policy,status,avg_cost,avg_quality,escalation_rate,selected_models,family,K,B,budget_name,worst_domain_quality
A1 K=1 B=0.000420126,optimal,0.0,0.6166666666666667,,MiniCPM4.1-8B,A1,1,0.00042012553854166664,B_low,0.5333333333333333
A1 K=1 B=0.000840251,optimal,0.0,0.6166666666666667,,MiniCPM4.1-8B,A1,1,0.0008402510770833333,B_mid,0.5333333333333333
A1 K=1 B=0.00126038,optimal,0.0,0.6166666666666667,,MiniCPM4.1-8B,A1,1,0.0012603766156249999,B_high,0.5333333333333333
A1 K=2 B=0.000420126,optimal,0.0004158882083333333,0.8125,,MiniCPM4.1-8B; qwen3-235b-a22b-2507,A1,2,0.00042012553854166664,B_low,0.7333333333333333
A1 K=2 B=0.000840251,feasible,0.0008334313333333334,0.8208333333333333,,MiniCPM4.1-8B; kimi-k2-0905,A1,2,0.0008402510770833333,B_mid,0.7666666666666667
A1 K=2 B=0.00126038,optimal,0.001255577125,0.8333333333333334,,NVIDIA-Nemotron-Nano-9B-v2; qwen3-235b-a22b-2507,A1,2,0.0012603766156249999,B_high,0.7166666666666667
A1 K=3 B=0.000420126,feasible,0.0004140435,0.8708333333333333,,MiniCPM4.1-8B; NVIDIA-Nemotron-Nano-9B-v2; qwen3-235b-a22b-2507,A1,3,0.00042012553854166664,B_low,0.8
A1 K=3 B=0.000840251,feasible,0.0008381493916666666,0.8833333333333333,,MiniCPM4.1-8B; Qwen3-8B; intern-s1,A1,3,0.0008402510770833333,B_mid,0.8166666666666667
A1 K=3 B=0.00126038,feasible,0.0010466447083333332,0.8875,,NVIDIA-Nemotron-Nano-9B-v2; deepseek-v3-0324; qwen3-235b-a22b-2507,A1,3,0.0012603766156249999,B_high,0.8166666666666667
A1 K=5 B=0.000420126,optimal,0.0003931905791666667,0.9291666666666667,,Intern-S1-mini; Llama-3.1-8B-Instruct; MiniCPM4.1-8B; NVIDIA-Nemotron-Nano-9B-v2; qwen3-235b-a22b-2507,A1,5,0.00042012553854166664,B_low,0.9
A1 K=5 B=0.000840251,optimal,0.0008359249666666667,0.9333333333333333,,Intern-S1-mini; Llama-3.1-8B-Instruct; NVIDIA-Nemotron-Nano-9B-v2; deepseek-v3-0324; qwen3-235b-a22b-2507,A1,5,0.0008402510770833333,B_mid,0.9
A1 K=5 B=0.00126038,feasible,0.0012603305583333334,0.9333333333333333,,Intern-S1-mini; Llama-3.1-8B-Instruct; NVIDIA-Nemotron-Nano-9B-v2; deepseek-v3-0324; qwen3-235b-a22b-2507,A1,5,0.0012603766156249999,B_high,0.9
