policy,status,avg_cost,avg_quality,escalation_rate,selected_models,family,K,B
A1 K=1 B=0.000420126,no_solution,,,,,A1,,
A1 K=1 B=0.000840251,no_solution,,,,,A1,,
A1 K=1 B=0.00126038,no_solution,,,,,A1,,
A1 K=2 B=0.000420126,feasible,0.00038803525,0.3875,,NVIDIA-Nemotron-Nano-9B-v2; Qwen2.5-Coder-7B-Instruct,A1,2.0,0.00042012553854166664
A1 K=2 B=0.000840251,feasible,0.0,0.20416666666666666,,granite-3.3-8b-instruct; internlm3-8b-instruct,A1,2.0,0.0008402510770833333
A1 K=2 B=0.00126038,feasible,0.00019594619166666668,0.6625,,MiniCPM4.1-8B; Qwen3-8B,A1,2.0,0.0012603766156249999
A1 K=3 B=0.000420126,feasible,1.3430708333333332e-05,0.625,,MiniCPM4.1-8B; deepseek-v3-0324,A1,3.0,0.00042012553854166664
A1 K=3 B=0.000840251,feasible,0.0,0.21666666666666667,,cogito-v1-preview-llama-8B; granite-3.3-8b-instruct; internlm3-8b-instruct,A1,3.0,0.0008402510770833333
A1 K=3 B=0.00126038,feasible,0.0012562536333333332,0.8833333333333333,,MiniCPM4.1-8B; Qwen3-8B; intern-s1,A1,3.0,0.0012603766156249999
A1 K=5 B=0.000420126,feasible,0.000248335375,0.8458333333333333,,GLM-Z1-9B-0414; Llama-3.1-8B-Instruct; MiniCPM4.1-8B; NVIDIA-Nemotron-Nano-9B-v2; kimi-k2-0905,A1,5.0,0.00042012553854166664
A1 K=5 B=0.000840251,feasible,0.0004588400541666667,0.8625,,Intern-S1-mini; MiniCPM4.1-8B; NVIDIA-Nemotron-Nano-9B-v2; deepseek-v3-0324; qwen3-235b-a22b-2507,A1,5.0,0.0008402510770833333
A1 K=5 B=0.00126038,feasible,0.0012603305583333334,0.9333333333333333,,Intern-S1-mini; Llama-3.1-8B-Instruct; NVIDIA-Nemotron-Nano-9B-v2; deepseek-v3-0324; qwen3-235b-a22b-2507,A1,5.0,0.0012603766156249999
A1 K=8 B=0.000420126,optimal,0.00022871987916666666,0.9541666666666667,,GLM-Z1-9B-0414; Intern-S1-mini; Llama-3.1-8B-Instruct; MiniCPM4.1-8B; NVIDIA-Nemotron-Nano-9B-v2; Qwen2.5-Coder-7B-Instruct; deepseek-v3-0324; qwen3-235b-a22b-2507,A1,8.0,0.00042012553854166664
A1 K=8 B=0.000840251,optimal,0.0008223387541666668,0.9666666666666667,,GLM-Z1-9B-0414; Intern-S1-mini; Llama-3.1-8B-Instruct; MiniCPM4.1-8B; deepseek-v3-0324; kimi-k2-0905; qwen3-235b-a22b-2507; qwen3-235b-a22b-thinking-2507,A1,8.0,0.0008402510770833333
A1 K=8 B=0.00126038,optimal,0.0012472845500000002,0.9708333333333333,,GLM-Z1-9B-0414; Intern-S1-mini; Llama-3.1-8B-Instruct; MiniCPM4.1-8B; deepseek-v3-0324; kimi-k2-0905; qwen3-235b-a22b-2507; qwen3-235b-a22b-thinking-2507,A1,8.0,0.0012603766156249999
