policy,status,avg_cost,avg_quality,escalation_rate,selected_models,family,K,B,Emax,budget_name
A2 K=2 B=0.000420126 Emax=1,optimal,0.0,0.7041666666666667,0.43333333333333335,GLM-Z1-9B-0414; MiniCPM4.1-8B,A2,2.0,0.00042012553854166664,1.0,B_low
A2 K=2 B=0.000420126 Emax=0.75,optimal,0.0,0.7041666666666667,0.43333333333333335,GLM-Z1-9B-0414; MiniCPM4.1-8B,A2,2.0,0.00042012553854166664,0.75,B_low
A2 K=2 B=0.000420126 Emax=0.5,optimal,0.0,0.7041666666666667,0.43333333333333335,GLM-Z1-9B-0414; MiniCPM4.1-8B,A2,2.0,0.00042012553854166664,0.5,B_low
A2 K=2 B=0.000840251 Emax=1,no_solution,,,,,A2,,,,B_mid
A2 K=2 B=0.000840251 Emax=0.75,optimal,0.000508316,0.7447916666666666,0.38333333333333336,MiniCPM4.1-8B; deepseek-v3-0324,A2,2.0,0.0008402510770833333,0.75,B_mid
A2 K=2 B=0.000840251 Emax=0.5,optimal,0.000508316,0.7447916666666666,0.38333333333333336,MiniCPM4.1-8B; deepseek-v3-0324,A2,2.0,0.0008402510770833333,0.5,B_mid
A2 K=2 B=0.00126038 Emax=1,no_solution,,,,,A2,,,,B_high
A2 K=2 B=0.00126038 Emax=0.75,optimal,0.000508316,0.7447916666666666,0.38333333333333336,MiniCPM4.1-8B; deepseek-v3-0324,A2,2.0,0.0012603766156249999,0.75,B_high
A2 K=2 B=0.00126038 Emax=0.5,no_solution,,,,,A2,,,,B_high
A2 K=3 B=0.000420126 Emax=1,optimal,0.00016804937500000002,0.8125,0.25,GLM-Z1-9B-0414; MiniCPM4.1-8B; deepseek-v3-0324,A2,3.0,0.00042012553854166664,1.0,B_low
A2 K=3 B=0.000420126 Emax=0.75,no_solution,,,,,A2,,,,B_low
A2 K=3 B=0.000420126 Emax=0.5,optimal,0.00016804937500000002,0.8125,0.25,GLM-Z1-9B-0414; MiniCPM4.1-8B; deepseek-v3-0324,A2,3.0,0.00042012553854166664,0.5,B_low
A2 K=3 B=0.000840251 Emax=1,no_solution,,,,,A2,,,,B_mid
A2 K=3 B=0.000840251 Emax=0.75,no_solution,,,,,A2,,,,B_mid
A2 K=3 B=0.000840251 Emax=0.5,no_solution,,,,,A2,,,,B_mid
A2 K=3 B=0.00126038 Emax=1,feasible,0.0,0.5697916666666667,0.7833333333333333,MiniCPM4.1-8B; Qwen2.5-Coder-7B-Instruct; glm-4-9b-chat,A2,3.0,0.0012603766156249999,1.0,B_high
A2 K=3 B=0.00126038 Emax=0.75,feasible,0.0,0.5864583333333333,0.7416666666666667,MiniCPM4.1-8B; Qwen2.5-Coder-7B-Instruct; glm-4-9b-chat,A2,3.0,0.0012603766156249999,0.75,B_high
A2 K=3 B=0.00126038 Emax=0.5,feasible,0.0,0.6854166666666667,0.49583333333333335,GLM-Z1-9B-0414; MiniCPM4.1-8B; glm-4-9b-chat,A2,3.0,0.0012603766156249999,0.5,B_high
A2 K=5 B=0.000420126 Emax=1,feasible,2.515008333333333e-05,0.7625,0.25,GLM-Z1-9B-0414; MiniCPM4.1-8B; deepseek-v3-0324,A2,5.0,0.00042012553854166664,1.0,B_low
A2 K=5 B=0.000420126 Emax=0.75,feasible,0.0004184661666666667,0.884375,0.15,GLM-Z1-9B-0414; MiniCPM4.1-8B; deepseek-r1-0528; deepseek-v3-0324; qwen3-235b-a22b-2507,A2,5.0,0.00042012553854166664,0.75,B_low
A2 K=5 B=0.000420126 Emax=0.5,feasible,0.000419450125,0.8927083333333333,0.14166666666666666,GLM-Z1-9B-0414; MiniCPM4.1-8B; deepseek-r1-0528; deepseek-v3-0324; qwen3-235b-a22b-2507,A2,5.0,0.00042012553854166664,0.5,B_low
A2 K=5 B=0.000840251 Emax=1,feasible,2.515008333333333e-05,0.7625,0.25,GLM-Z1-9B-0414; MiniCPM4.1-8B; deepseek-v3-0324,A2,5.0,0.0008402510770833333,1.0,B_mid
A2 K=5 B=0.000840251 Emax=0.75,feasible,2.515008333333333e-05,0.7625,0.25,GLM-Z1-9B-0414; MiniCPM4.1-8B; deepseek-v3-0324,A2,5.0,0.0008402510770833333,0.75,B_mid
A2 K=5 B=0.000840251 Emax=0.5,feasible,0.00020980691666666666,0.8510416666666667,0.20833333333333334,GLM-Z1-9B-0414; MiniCPM4.1-8B; deepseek-v3-0324; gpt-5; qwen3-235b-a22b-2507,A2,5.0,0.0008402510770833333,0.5,B_mid
A2 K=5 B=0.00126038 Emax=1,feasible,2.2370708333333334e-05,0.7979166666666667,0.22083333333333333,GLM-Z1-9B-0414; MiniCPM4.1-8B; Qwen2.5-Coder-7B-Instruct; deepseek-v3-0324,A2,5.0,0.0012603766156249999,1.0,B_high
A2 K=5 B=0.00126038 Emax=0.75,feasible,2.2370708333333334e-05,0.7979166666666667,0.22083333333333333,GLM-Z1-9B-0414; MiniCPM4.1-8B; Qwen2.5-Coder-7B-Instruct; deepseek-v3-0324,A2,5.0,0.0012603766156249999,0.75,B_high
A2 K=5 B=0.00126038 Emax=0.5,feasible,2.2370708333333334e-05,0.8,0.2125,GLM-Z1-9B-0414; MiniCPM4.1-8B; Qwen2.5-Coder-7B-Instruct; deepseek-v3-0324,A2,5.0,0.0012603766156249999,0.5,B_high
