cascade_id,m1,m2,qbar_m1,qbar_m2,cbar_m1,cbar_m2,avg_R,avg_C,avg_Esc,feasible_prompts
c000,GLM-Z1-9B-0414,MiniCPM4.1-8B,0.5666666666666667,0.6166666666666667,0.0,0.0,0.7041666666666667,0.0,0.43333333333333335,240
c001,OpenThinker3-7B,MiniCPM4.1-8B,0.3458333333333333,0.6166666666666667,0.0,0.0,0.6052083333333333,0.0,0.6541666666666667,240
c002,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,0.24583333333333332,0.6166666666666667,0.0,0.0,0.5770833333333333,0.0,0.7541666666666667,240
c003,cogito-v1-preview-llama-8B,MiniCPM4.1-8B,0.21666666666666667,0.6166666666666667,0.0,0.0,0.5604166666666667,0.0,0.7833333333333333,240
c004,internlm3-8b-instruct,MiniCPM4.1-8B,0.23333333333333334,0.6166666666666667,0.0,0.0,0.5583333333333333,0.0,0.7666666666666667,240
c005,granite-3.3-8b-instruct,MiniCPM4.1-8B,0.2125,0.6166666666666667,0.0,0.0,0.55,0.0,0.7875,240
c006,glm-4-9b-chat,MiniCPM4.1-8B,0.16666666666666666,0.6166666666666667,0.0,0.0,0.5322916666666667,0.0,0.8333333333333334,240
c007,MiMo-7B-RL-0530,MiniCPM4.1-8B,0.020833333333333332,0.6166666666666667,0.0,0.0,0.4708333333333333,0.0,0.9791666666666666,240
c008,gemma-2-9b-it,MiniCPM4.1-8B,0.22916666666666666,0.6166666666666667,1.8707866666666668e-05,0.0,0.5760416666666667,1.8707866666666668e-05,0.7708333333333334,240
c009,MiniCPM4.1-8B,deepseek-v3-0324,0.6166666666666667,0.6416666666666667,0.0,0.0013107263750000001,0.7447916666666666,0.000508316,0.38333333333333336,240
c010,qwen3-235b-a22b-thinking-2507,gpt-5,0.8458333333333333,0.8875,0.014699289166666666,0.04254848645833333,0.9052083333333333,0.026687719375,0.15416666666666667,240
c011,gemini-2.5-pro,gpt-5,0.8291666666666667,0.8875,0.1084043125,0.04254848645833333,0.9010416666666666,0.12216674583333333,0.17083333333333334,240
c012,gemini-2.5-pro,qwen3-235b-a22b-thinking-2507,0.8291666666666667,0.8458333333333333,0.1084043125,0.014699289166666666,0.8916666666666667,0.11156470933333333,0.17083333333333334,240
c013,gemini-2.5-pro,deepseek-r1-0528,0.8291666666666667,0.8416666666666667,0.1084043125,0.021899300833333336,0.8885416666666667,0.11398149645833335,0.17083333333333334,240
c014,kimi-k2-0905,gpt-5,0.7375,0.8875,0.004329058375,0.04254848645833333,0.8875,0.024917285458333334,0.2625,240
c015,qwen3-235b-a22b-2507,gpt-5,0.7291666666666666,0.8875,0.0017558165416666667,0.04254848645833333,0.8791666666666667,0.021438366541666667,0.2708333333333333,240
c016,gemini-2.5-flash,gpt-5,0.7,0.8875,0.015801994583333333,0.04254848645833333,0.865625,0.037446064375,0.3,240
c017,qwen3-235b-a22b-2507,gemini-2.5-pro,0.7291666666666666,0.8291666666666667,0.0017558165416666667,0.1084043125,0.8635416666666667,0.03786176966666666,0.2708333333333333,240
c018,kimi-k2-0905,gemini-2.5-pro,0.7375,0.8291666666666667,0.004329058375,0.1084043125,0.8625,0.04711620941666667,0.2625,240
c019,qwen3-235b-a22b-2507,deepseek-r1-0528,0.7291666666666666,0.8416666666666667,0.0017558165416666667,0.021899300833333336,0.8604166666666667,0.009363719458333333,0.2708333333333333,240
