policy,domain,avg_quality
Always cheapest,AIME,0.7833333333333333
Always cheapest,GPQA,0.9333333333333333
Always cheapest,LCB,0.8833333333333333
Always cheapest,MMLU-Pro,0.85
Always best quality,AIME,0.9666666666666667
Always best quality,GPQA,1.0
Always best quality,LCB,1.0
Always best quality,MMLU-Pro,0.9666666666666667
A0 alpha=0.1,AIME,0.9666666666666667
A0 alpha=0.1,GPQA,1.0
A0 alpha=0.1,LCB,0.9833333333333333
A0 alpha=0.1,MMLU-Pro,0.9666666666666667
A0 alpha=0.5,AIME,0.9666666666666667
A0 alpha=0.5,GPQA,1.0
A0 alpha=0.5,LCB,1.0
A0 alpha=0.5,MMLU-Pro,0.9666666666666667
A0 alpha=1,AIME,0.9666666666666667
A0 alpha=1,GPQA,1.0
A0 alpha=1,LCB,1.0
A0 alpha=1,MMLU-Pro,0.9666666666666667
A0 alpha=2,AIME,0.9666666666666667
A0 alpha=2,GPQA,1.0
A0 alpha=2,LCB,1.0
A0 alpha=2,MMLU-Pro,0.9666666666666667
A0 alpha=5,AIME,0.9666666666666667
A0 alpha=5,GPQA,1.0
A0 alpha=5,LCB,1.0
A0 alpha=5,MMLU-Pro,0.9666666666666667
A0 alpha=10,AIME,0.9666666666666667
A0 alpha=10,GPQA,1.0
A0 alpha=10,LCB,1.0
A0 alpha=10,MMLU-Pro,0.9666666666666667
A1 K=2 B=0.000420126,AIME,0.25
A1 K=2 B=0.000420126,GPQA,0.4
A1 K=2 B=0.000420126,LCB,0.43333333333333335
A1 K=2 B=0.000420126,MMLU-Pro,0.4666666666666667
A1 K=2 B=0.000840251,AIME,0.03333333333333333
A1 K=2 B=0.000840251,GPQA,0.35
A1 K=2 B=0.000840251,LCB,0.15
A1 K=2 B=0.000840251,MMLU-Pro,0.2833333333333333
A1 K=2 B=0.00126038,AIME,0.7333333333333333
A1 K=2 B=0.00126038,GPQA,0.6
A1 K=2 B=0.00126038,LCB,0.7333333333333333
A1 K=2 B=0.00126038,MMLU-Pro,0.5833333333333334
A1 K=3 B=0.000420126,AIME,0.6833333333333333
A1 K=3 B=0.000420126,GPQA,0.5333333333333333
A1 K=3 B=0.000420126,LCB,0.7166666666666667
A1 K=3 B=0.000420126,MMLU-Pro,0.5666666666666667
A1 K=3 B=0.000840251,AIME,0.03333333333333333
A1 K=3 B=0.000840251,GPQA,0.3333333333333333
A1 K=3 B=0.000840251,LCB,0.15
A1 K=3 B=0.000840251,MMLU-Pro,0.35
A1 K=3 B=0.00126038,AIME,0.8166666666666667
A1 K=3 B=0.00126038,GPQA,0.8333333333333334
A1 K=3 B=0.00126038,LCB,0.95
A1 K=3 B=0.00126038,MMLU-Pro,0.9333333333333333
A1 K=5 B=0.000420126,AIME,0.8
A1 K=5 B=0.000420126,GPQA,0.85
A1 K=5 B=0.000420126,LCB,0.85
A1 K=5 B=0.000420126,MMLU-Pro,0.8833333333333333
A1 K=5 B=0.000840251,AIME,0.8666666666666667
A1 K=5 B=0.000840251,GPQA,0.85
A1 K=5 B=0.000840251,LCB,0.8833333333333333
A1 K=5 B=0.000840251,MMLU-Pro,0.85
A1 K=5 B=0.00126038,AIME,0.9
A1 K=5 B=0.00126038,GPQA,0.9166666666666666
A1 K=5 B=0.00126038,LCB,0.95
A1 K=5 B=0.00126038,MMLU-Pro,0.9666666666666667
A1 K=8 B=0.000420126,AIME,0.9
A1 K=8 B=0.000420126,GPQA,0.9833333333333333
A1 K=8 B=0.000420126,LCB,0.9666666666666667
A1 K=8 B=0.000420126,MMLU-Pro,0.9666666666666667
A1 K=8 B=0.000840251,AIME,0.9166666666666666
A1 K=8 B=0.000840251,GPQA,1.0
A1 K=8 B=0.000840251,LCB,0.9833333333333333
A1 K=8 B=0.000840251,MMLU-Pro,0.9666666666666667
A1 K=8 B=0.00126038,AIME,0.9333333333333333
A1 K=8 B=0.00126038,GPQA,1.0
A1 K=8 B=0.00126038,LCB,0.9833333333333333
A1 K=8 B=0.00126038,MMLU-Pro,0.9666666666666667
A2 K=2 B=0.000420126 Emax=1,AIME,0.7291666666666666
A2 K=2 B=0.000420126 Emax=1,GPQA,0.6916666666666667
A2 K=2 B=0.000420126 Emax=1,LCB,0.7625
A2 K=2 B=0.000420126 Emax=1,MMLU-Pro,0.6333333333333333
A2 K=2 B=0.000420126 Emax=0.75,AIME,0.7291666666666666
A2 K=2 B=0.000420126 Emax=0.75,GPQA,0.6916666666666667
A2 K=2 B=0.000420126 Emax=0.75,LCB,0.7625
A2 K=2 B=0.000420126 Emax=0.75,MMLU-Pro,0.6333333333333333
A2 K=2 B=0.000420126 Emax=0.5,AIME,0.7291666666666666
A2 K=2 B=0.000420126 Emax=0.5,GPQA,0.6916666666666667
A2 K=2 B=0.000420126 Emax=0.5,LCB,0.7625
A2 K=2 B=0.000420126 Emax=0.5,MMLU-Pro,0.6333333333333333
A2 K=2 B=0.000840251 Emax=0.75,AIME,0.7083333333333334
A2 K=2 B=0.000840251 Emax=0.75,GPQA,0.7208333333333333
A2 K=2 B=0.000840251 Emax=0.75,LCB,0.8125
A2 K=2 B=0.000840251 Emax=0.75,MMLU-Pro,0.7375
A2 K=2 B=0.000840251 Emax=0.5,AIME,0.7083333333333334
A2 K=2 B=0.000840251 Emax=0.5,GPQA,0.7208333333333333
A2 K=2 B=0.000840251 Emax=0.5,LCB,0.8125
A2 K=2 B=0.000840251 Emax=0.5,MMLU-Pro,0.7375
A2 K=2 B=0.00126038 Emax=0.75,AIME,0.7083333333333334
A2 K=2 B=0.00126038 Emax=0.75,GPQA,0.7208333333333333
A2 K=2 B=0.00126038 Emax=0.75,LCB,0.8125
A2 K=2 B=0.00126038 Emax=0.75,MMLU-Pro,0.7375
A2 K=3 B=0.000420126 Emax=1,AIME,0.7666666666666667
A2 K=3 B=0.000420126 Emax=1,GPQA,0.8208333333333333
A2 K=3 B=0.000420126 Emax=1,LCB,0.8666666666666667
A2 K=3 B=0.000420126 Emax=1,MMLU-Pro,0.7958333333333333
A2 K=3 B=0.000420126 Emax=0.5,AIME,0.7666666666666667
A2 K=3 B=0.000420126 Emax=0.5,GPQA,0.8208333333333333
A2 K=3 B=0.000420126 Emax=0.5,LCB,0.8666666666666667
A2 K=3 B=0.000420126 Emax=0.5,MMLU-Pro,0.7958333333333333
A2 K=3 B=0.00126038 Emax=1,AIME,0.5208333333333334
A2 K=3 B=0.00126038 Emax=1,GPQA,0.6041666666666666
A2 K=3 B=0.00126038 Emax=1,LCB,0.6
A2 K=3 B=0.00126038 Emax=1,MMLU-Pro,0.5541666666666667
A2 K=3 B=0.00126038 Emax=0.75,AIME,0.5208333333333334
A2 K=3 B=0.00126038 Emax=0.75,GPQA,0.6166666666666667
A2 K=3 B=0.00126038 Emax=0.75,LCB,0.6375
A2 K=3 B=0.00126038 Emax=0.75,MMLU-Pro,0.5708333333333333
A2 K=3 B=0.00126038 Emax=0.5,AIME,0.6833333333333333
A2 K=3 B=0.00126038 Emax=0.5,GPQA,0.7
A2 K=3 B=0.00126038 Emax=0.5,LCB,0.6958333333333333
A2 K=3 B=0.00126038 Emax=0.5,MMLU-Pro,0.6625
A2 K=5 B=0.000420126 Emax=1,AIME,0.7666666666666667
A2 K=5 B=0.000420126 Emax=1,GPQA,0.7333333333333333
A2 K=5 B=0.000420126 Emax=1,LCB,0.8291666666666667
A2 K=5 B=0.000420126 Emax=1,MMLU-Pro,0.7208333333333333
A2 K=5 B=0.000420126 Emax=0.75,AIME,0.8166666666666667
A2 K=5 B=0.000420126 Emax=0.75,GPQA,0.8833333333333333
A2 K=5 B=0.000420126 Emax=0.75,LCB,0.9416666666666667
A2 K=5 B=0.000420126 Emax=0.75,MMLU-Pro,0.8958333333333334
A2 K=5 B=0.000420126 Emax=0.5,AIME,0.85
A2 K=5 B=0.000420126 Emax=0.5,GPQA,0.8833333333333333
A2 K=5 B=0.000420126 Emax=0.5,LCB,0.9416666666666667
A2 K=5 B=0.000420126 Emax=0.5,MMLU-Pro,0.8958333333333334
A2 K=5 B=0.000840251 Emax=1,AIME,0.7666666666666667
A2 K=5 B=0.000840251 Emax=1,GPQA,0.7333333333333333
A2 K=5 B=0.000840251 Emax=1,LCB,0.8291666666666667
A2 K=5 B=0.000840251 Emax=1,MMLU-Pro,0.7208333333333333
A2 K=5 B=0.000840251 Emax=0.75,AIME,0.7666666666666667
