policy,scenario,avg_quality,avg_cost
Always cheapest,empirical,0.8624999999999999,0.0
Always cheapest,balanced,0.8624999999999999,0.0
Always cheapest,coding_heavy,0.8741666666666666,0.0
Always cheapest,math_heavy,0.8291666666666667,0.0
Always cheapest,knowledge_heavy,0.88,0.0
Always best quality,empirical,0.9833333333333333,0.0016805021541666666
Always best quality,balanced,0.9833333333333333,0.0016805021541666666
Always best quality,coding_heavy,0.99,0.0018033195866666667
Always best quality,math_heavy,0.975,0.002513624989166667
Always best quality,knowledge_heavy,0.9833333333333334,0.0007233172116666667
A0 alpha=0.1,empirical,0.9791666666666666,0.0012209146541666666
A0 alpha=0.1,balanced,0.9791666666666666,0.0012209146541666666
A0 alpha=0.1,coding_heavy,0.9808333333333333,0.0007922270866666667
A0 alpha=0.1,math_heavy,0.9733333333333334,0.0023297899891666666
A0 alpha=0.1,knowledge_heavy,0.9816666666666667,0.0005394822116666667
A0 alpha=0.5,empirical,0.9833333333333333,0.0016805021541666666
A0 alpha=0.5,balanced,0.9833333333333333,0.0016805021541666666
A0 alpha=0.5,coding_heavy,0.99,0.0018033195866666667
A0 alpha=0.5,math_heavy,0.975,0.002513624989166667
A0 alpha=0.5,knowledge_heavy,0.9833333333333334,0.0007233172116666667
A0 alpha=1,empirical,0.9833333333333333,0.0016805021541666666
A0 alpha=1,balanced,0.9833333333333333,0.0016805021541666666
A0 alpha=1,coding_heavy,0.99,0.0018033195866666667
A0 alpha=1,math_heavy,0.975,0.002513624989166667
A0 alpha=1,knowledge_heavy,0.9833333333333334,0.0007233172116666667
A0 alpha=2,empirical,0.9833333333333333,0.0016805021541666666
A0 alpha=2,balanced,0.9833333333333333,0.0016805021541666666
A0 alpha=2,coding_heavy,0.99,0.0018033195866666667
A0 alpha=2,math_heavy,0.975,0.002513624989166667
A0 alpha=2,knowledge_heavy,0.9833333333333334,0.0007233172116666667
A0 alpha=5,empirical,0.9833333333333333,0.0016805021541666666
A0 alpha=5,balanced,0.9833333333333333,0.0016805021541666666
A0 alpha=5,coding_heavy,0.99,0.0018033195866666667
A0 alpha=5,math_heavy,0.975,0.002513624989166667
A0 alpha=5,knowledge_heavy,0.9833333333333334,0.0007233172116666667
A0 alpha=10,empirical,0.9833333333333333,0.0016805021541666666
A0 alpha=10,balanced,0.9833333333333333,0.0016805021541666666
A0 alpha=10,coding_heavy,0.99,0.0018033195866666667
A0 alpha=10,math_heavy,0.975,0.002513624989166667
A0 alpha=10,knowledge_heavy,0.9833333333333334,0.0007233172116666667
A1 K=2 B=0.000420126,empirical,0.3875,0.00038803525
A1 K=2 B=0.000420126,balanced,0.3875,0.00038803525
A1 K=2 B=0.000420126,coding_heavy,0.4166666666666667,0.0004406313666666667
A1 K=2 B=0.000420126,math_heavy,0.33416666666666667,0.0003833205666666667
A1 K=2 B=0.000420126,knowledge_heavy,0.41500000000000004,0.0003339068
A1 K=2 B=0.000840251,empirical,0.20416666666666666,0.0
A1 K=2 B=0.000840251,balanced,0.20416666666666666,0.0
A1 K=2 B=0.000840251,coding_heavy,0.195,0.0
A1 K=2 B=0.000840251,math_heavy,0.14250000000000002,0.0
A1 K=2 B=0.000840251,knowledge_heavy,0.27166666666666667,0.0
A1 K=2 B=0.00126038,empirical,0.6625,0.00019594619166666665
A1 K=2 B=0.00126038,balanced,0.6625,0.00019594619166666665
A1 K=2 B=0.00126038,coding_heavy,0.6833333333333333,0.00015848462666666666
A1 K=2 B=0.00126038,math_heavy,0.6833333333333333,0.00029495878916666664
A1 K=2 B=0.00126038,knowledge_heavy,0.62,0.00013066951166666667
A1 K=3 B=0.000420126,empirical,0.625,1.3430708333333333e-05
A1 K=3 B=0.000420126,balanced,0.625,1.3430708333333333e-05
A1 K=3 B=0.000420126,coding_heavy,0.6558333333333334,2.1782833333333334e-05
A1 K=3 B=0.000420126,math_heavy,0.6408333333333334,6.969883333333333e-06
A1 K=3 B=0.000420126,knowledge_heavy,0.5800000000000001,1.1613833333333334e-05
A1 K=3 B=0.000840251,empirical,0.21666666666666667,0.0
A1 K=3 B=0.000840251,balanced,0.21666666666666667,0.0
A1 K=3 B=0.000840251,coding_heavy,0.20583333333333334,0.0
A1 K=3 B=0.000840251,math_heavy,0.15333333333333335,0.0
A1 K=3 B=0.000840251,knowledge_heavy,0.2916666666666667,0.0
A1 K=3 B=0.00126038,empirical,0.8833333333333333,0.0012562536333333334
A1 K=3 B=0.00126038,balanced,0.8833333333333333,0.0012562536333333334
A1 K=3 B=0.00126038,coding_heavy,0.9158333333333334,0.0011840211458333334
A1 K=3 B=0.00126038,math_heavy,0.8558333333333333,0.0013483781708333333
A1 K=3 B=0.00126038,knowledge_heavy,0.8833333333333334,0.0012234767633333334
A1 K=5 B=0.000420126,empirical,0.8458333333333333,0.000248335375
A1 K=5 B=0.000420126,balanced,0.8458333333333333,0.000248335375
A1 K=5 B=0.000420126,coding_heavy,0.8516666666666667,0.00018877784166666667
A1 K=5 B=0.000420126,math_heavy,0.8291666666666667,0.00023271254166666667
A1 K=5 B=0.000420126,knowledge_heavy,0.8583333333333334,0.0003086082
A1 K=5 B=0.000840251,empirical,0.8624999999999999,0.00045884005416666667
A1 K=5 B=0.000840251,balanced,0.8624999999999999,0.00045884005416666667
A1 K=5 B=0.000840251,coding_heavy,0.87,0.00042048031500000003
A1 K=5 B=0.000840251,math_heavy,0.8625,0.0006413365950000001
A1 K=5 B=0.000840251,knowledge_heavy,0.8550000000000001,0.0003149969666666667
A1 K=5 B=0.00126038,empirical,0.9333333333333333,0.0012603305583333334
A1 K=5 B=0.00126038,balanced,0.9333333333333333,0.0012603305583333334
