model,rows,avg_quality,avg_cost,zero_cost_rows
gpt-5,240,0.8875,0.04254848645833333,1
qwen3-235b-a22b-thinking-2507,240,0.8458333333333333,0.014699289166666666,8
deepseek-r1-0528,240,0.8416666666666667,0.021899300833333336,0
gemini-2.5-pro,240,0.8291666666666667,0.1084043125,4
gpt-5-chat,240,0.7416666666666667,0.00470364921875,0
kimi-k2-0905,240,0.7375,0.004329058375,1
glm-4.6,240,0.7375,0.01949707541666667,0
qwen3-235b-a22b-2507,240,0.7291666666666666,0.0017558165416666667,1
deepseek-v3.1-terminus,180,0.7055555555555556,0.0016148473333333334,0
gemini-2.5-flash,240,0.7,0.015801994583333333,1
Qwen3-8B,240,0.6708333333333333,0.0013386728250000001,0
DeepSeek-R1-0528-Qwen3-8B,240,0.6583333333333333,0.0013341783333333335,0
deepseek-v3-0324,240,0.6416666666666667,0.0013107263750000001,0
intern-s1,240,0.6291666666666667,0.0051004215,0
claude-sonnet-4,240,0.6208333333333333,0.015042725,1
MiniCPM4.1-8B,240,0.6166666666666667,0.0,240
NVIDIA-Nemotron-Nano-9B-v2,240,0.6041666666666666,0.00174555425,0
GLM-Z1-9B-0414,240,0.5666666666666667,0.0,240
Intern-S1-mini,240,0.4708333333333333,0.0026164417791666667,0
DeepSeek-R1-Distill-Qwen-7B,240,0.3875,0.0013335170833333333,0
Llama-3.1-Nemotron-Nano-8B-v1,240,0.375,9.998297916666666e-05,0
OpenThinker3-7B,240,0.3458333333333333,0.0,240
Qwen2.5-Coder-7B-Instruct,240,0.24583333333333332,0.0,240
internlm3-8b-instruct,240,0.23333333333333334,0.0,240
gemma-2-9b-it,240,0.22916666666666666,1.8707866666666668e-05,0
cogito-v1-preview-llama-8B,240,0.21666666666666667,0.0,240
granite-3.3-8b-instruct,240,0.2125,0.0,240
Llama-3.1-8B-Instruct,240,0.20833333333333334,4.367452083333333e-05,0
Fin-R1,240,0.20833333333333334,0.0003034219166666667,0
glm-4-9b-chat,240,0.16666666666666666,0.0,240
Llama-3.1-8B-UltraMedical,240,0.15833333333333333,2.2925833333333333e-05,0
DeepHermes-3-Llama-3-8B-Preview,240,0.14166666666666666,0.0002662747916666667,0
MiMo-7B-RL-0530,240,0.020833333333333332,0.0,240
