policy,family,K,budget_name,Emax,avg_cost,avg_quality,worst_scenario_quality,p05_stress_quality,worst_domain_quality,eta,total_slack,escalation_rate,num_models_selected,provider_count,storage_gb,status,mip_gap,wall_time_sec
Always cheapest,baseline,,,,0.0,0.8625,,,0.7833333333333333,,,,,,,ok,,
Always best quality,baseline,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=0.1,A0,,,,0.0012209146541666666,0.9791666666666666,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=0.5,A0,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=1,A0,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=2,A0,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=5,A0,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=10,A0,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A1 K=5 B=0.000840251,A1,5.0,B_mid,,0.0008359249666666667,0.9333333333333333,,,0.9,,,,,,,optimal,,
A2 K=5 B=0.000840251 Emax=0.75,A2,5.0,B_mid,0.75,0.0008274897458333333,0.925,,,0.9,,,0.0,,,,feasible,,
A3 K=5 B=0.000840251 Emax=0.75,A3,5.0,B_mid,0.75,0.0007812571291666668,0.9291666666666667,0.9175,,0.9,0.9174999999999973,0.0,0.0,,,,feasible,,
