cascade_id,depth,m1,m2,m3,qbar_m1,qbar_m2,qbar_m3,cbar_m1,cbar_m2,cbar_m3,avg_R,avg_C,avg_Esc,feasible_prompts
s1::DeepHermes-3-Llama-3-8B-Preview,1,DeepHermes-3-Llama-3-8B-Preview,,,0.14166666666666666,0.0,0.0,0.0002662747916666667,0.0,0.0,0.14166666666666666,0.0002662747916666667,0.0,240
s1::DeepSeek-R1-0528-Qwen3-8B,1,DeepSeek-R1-0528-Qwen3-8B,,,0.6583333333333333,0.0,0.0,0.0013341783333333335,0.0,0.0,0.6583333333333333,0.0013341783333333335,0.0,240
s1::DeepSeek-R1-Distill-Qwen-7B,1,DeepSeek-R1-Distill-Qwen-7B,,,0.3875,0.0,0.0,0.0013335170833333333,0.0,0.0,0.3875,0.0013335170833333333,0.0,240
s1::Fin-R1,1,Fin-R1,,,0.20833333333333334,0.0,0.0,0.0003034219166666667,0.0,0.0,0.20833333333333334,0.0003034219166666667,0.0,240
s1::GLM-Z1-9B-0414,1,GLM-Z1-9B-0414,,,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.0,0.0,240
s1::Intern-S1-mini,1,Intern-S1-mini,,,0.4708333333333333,0.0,0.0,0.0026164417791666667,0.0,0.0,0.4708333333333333,0.0026164417791666667,0.0,240
s1::Llama-3.1-8B-Instruct,1,Llama-3.1-8B-Instruct,,,0.20833333333333334,0.0,0.0,4.367452083333333e-05,0.0,0.0,0.20833333333333334,4.367452083333333e-05,0.0,240
s1::Llama-3.1-8B-UltraMedical,1,Llama-3.1-8B-UltraMedical,,,0.15833333333333333,0.0,0.0,2.2925833333333333e-05,0.0,0.0,0.15833333333333333,2.2925833333333333e-05,0.0,240
s1::Llama-3.1-Nemotron-Nano-8B-v1,1,Llama-3.1-Nemotron-Nano-8B-v1,,,0.375,0.0,0.0,9.998297916666666e-05,0.0,0.0,0.375,9.998297916666666e-05,0.0,240
s1::MiMo-7B-RL-0530,1,MiMo-7B-RL-0530,,,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,240
s1::MiniCPM4.1-8B,1,MiniCPM4.1-8B,,,0.6166666666666667,0.0,0.0,0.0,0.0,0.0,0.6166666666666667,0.0,0.0,240
s1::NVIDIA-Nemotron-Nano-9B-v2,1,NVIDIA-Nemotron-Nano-9B-v2,,,0.6041666666666666,0.0,0.0,0.00174555425,0.0,0.0,0.6041666666666666,0.00174555425,0.0,240
s1::OpenThinker3-7B,1,OpenThinker3-7B,,,0.3458333333333333,0.0,0.0,0.0,0.0,0.0,0.3458333333333333,0.0,0.0,240
s1::Qwen2.5-Coder-7B-Instruct,1,Qwen2.5-Coder-7B-Instruct,,,0.24583333333333332,0.0,0.0,0.0,0.0,0.0,0.24583333333333332,0.0,0.0,240
s1::Qwen3-8B,1,Qwen3-8B,,,0.6708333333333333,0.0,0.0,0.0013386728250000001,0.0,0.0,0.6708333333333333,0.0013386728250000001,0.0,240
s1::claude-sonnet-4,1,claude-sonnet-4,,,0.6208333333333333,0.0,0.0,0.015042725,0.0,0.0,0.6208333333333333,0.015042725,0.0,240
s1::cogito-v1-preview-llama-8B,1,cogito-v1-preview-llama-8B,,,0.21666666666666667,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.0,0.0,240
s1::deepseek-r1-0528,1,deepseek-r1-0528,,,0.8416666666666667,0.0,0.0,0.021899300833333336,0.0,0.0,0.8416666666666667,0.021899300833333336,0.0,240
s1::deepseek-v3-0324,1,deepseek-v3-0324,,,0.6416666666666667,0.0,0.0,0.0013107263750000001,0.0,0.0,0.6416666666666667,0.0013107263750000001,0.0,240
s1::deepseek-v3.1-terminus,1,deepseek-v3.1-terminus,,,0.7055555555555556,0.0,0.0,0.0016148473333333334,0.0,0.0,0.7055555555555556,0.0016148473333333334,0.0,180
s1::gemini-2.5-flash,1,gemini-2.5-flash,,,0.7,0.0,0.0,0.015801994583333333,0.0,0.0,0.7,0.015801994583333333,0.0,240
s1::gemini-2.5-pro,1,gemini-2.5-pro,,,0.8291666666666667,0.0,0.0,0.1084043125,0.0,0.0,0.8291666666666667,0.1084043125,0.0,240
s1::gemma-2-9b-it,1,gemma-2-9b-it,,,0.22916666666666666,0.0,0.0,1.8707866666666668e-05,0.0,0.0,0.22916666666666666,1.8707866666666668e-05,0.0,240
s1::glm-4-9b-chat,1,glm-4-9b-chat,,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,240
s1::glm-4.6,1,glm-4.6,,,0.7375,0.0,0.0,0.01949707541666667,0.0,0.0,0.7375,0.019497075416666666,0.0,240
s1::gpt-5,1,gpt-5,,,0.8875,0.0,0.0,0.04254848645833333,0.0,0.0,0.8875,0.04254848645833333,0.0,240
s1::gpt-5-chat,1,gpt-5-chat,,,0.7416666666666667,0.0,0.0,0.00470364921875,0.0,0.0,0.7416666666666667,0.00470364921875,0.0,240
s1::granite-3.3-8b-instruct,1,granite-3.3-8b-instruct,,,0.2125,0.0,0.0,0.0,0.0,0.0,0.2125,0.0,0.0,240
s1::intern-s1,1,intern-s1,,,0.6291666666666667,0.0,0.0,0.0051004215,0.0,0.0,0.6291666666666667,0.0051004215,0.0,240
s1::internlm3-8b-instruct,1,internlm3-8b-instruct,,,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,240
s1::kimi-k2-0905,1,kimi-k2-0905,,,0.7375,0.0,0.0,0.004329058375,0.0,0.0,0.7375,0.004329058375,0.0,240
s1::qwen3-235b-a22b-2507,1,qwen3-235b-a22b-2507,,,0.7291666666666666,0.0,0.0,0.0017558165416666667,0.0,0.0,0.7291666666666666,0.0017558165416666667,0.0,240
s1::qwen3-235b-a22b-thinking-2507,1,qwen3-235b-a22b-thinking-2507,,,0.8458333333333333,0.0,0.0,0.014699289166666666,0.0,0.0,0.8458333333333333,0.014699289166666666,0.0,240
s2::GLM-Z1-9B-0414::MiniCPM4.1-8B,2,GLM-Z1-9B-0414,MiniCPM4.1-8B,,0.5666666666666667,0.6166666666666667,0.0,0.0,0.0,0.0,0.7041666666666667,0.0,0.43333333333333335,240
s2::OpenThinker3-7B::MiniCPM4.1-8B,2,OpenThinker3-7B,MiniCPM4.1-8B,,0.3458333333333333,0.6166666666666667,0.0,0.0,0.0,0.0,0.6052083333333333,0.0,0.6541666666666667,240
s2::Qwen2.5-Coder-7B-Instruct::MiniCPM4.1-8B,2,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,,0.24583333333333332,0.6166666666666667,0.0,0.0,0.0,0.0,0.5770833333333333,0.0,0.7541666666666667,240
s2::qwen3-235b-a22b-thinking-2507::gpt-5,2,qwen3-235b-a22b-thinking-2507,gpt-5,,0.8458333333333333,0.8875,0.0,0.014699289166666666,0.04254848645833333,0.0,0.9052083333333333,0.026687719375,0.15416666666666667,240
s2::gemini-2.5-pro::gpt-5,2,gemini-2.5-pro,gpt-5,,0.8291666666666667,0.8875,0.0,0.1084043125,0.04254848645833333,0.0,0.9010416666666666,0.12216674583333333,0.17083333333333334,240
s2::gemini-2.5-pro::qwen3-235b-a22b-thinking-2507,2,gemini-2.5-pro,qwen3-235b-a22b-thinking-2507,,0.8291666666666667,0.8458333333333333,0.0,0.1084043125,0.014699289166666666,0.0,0.8916666666666667,0.11156470933333333,0.17083333333333334,240
s2::gemini-2.5-pro::deepseek-r1-0528,2,gemini-2.5-pro,deepseek-r1-0528,,0.8291666666666667,0.8416666666666667,0.0,0.1084043125,0.021899300833333336,0.0,0.8885416666666667,0.11398149645833335,0.17083333333333334,240
