policy,family,K,budget_name,Emax,avg_cost,avg_quality,worst_scenario_quality,p05_stress_quality,worst_domain_quality,eta,total_slack,escalation_rate,num_models_selected,provider_count,storage_gb,status,mip_gap,wall_time_sec
Always cheapest,baseline,,,,0.0,0.8625,,,0.7833333333333333,,,,,,,ok,,
Always best quality,baseline,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=0.1,A0,,,,0.0012209146541666666,0.9791666666666666,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=0.5,A0,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=1,A0,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=2,A0,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=5,A0,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A0 alpha=10,A0,,,,0.0016805021541666666,0.9833333333333333,,,0.9666666666666667,,,,,,,ok,,
A2 K=2 B=0.000840251 Emax=1,A2,2.0,B_mid,1.0,0.0,0.23333333333333334,,,0.06666666666666667,,,0.0,,,,feasible,,
A3 K=2 B=0.000840251 Emax=1,A3,2.0,B_mid,1.0,0.0007575595833333333,0.6458333333333334,0.6333333333333334,,0.6166666666666667,0.0,2.95,0.0,,,,feasible,,
