policy,check_name,passed,lhs,sense,rhs,violation,tolerance
Always cheapest,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
Always cheapest,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
Always best quality,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
Always best quality,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A0 alpha=0.1,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=0.1,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A0 alpha=0.5,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=0.5,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A0 alpha=1,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=1,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A0 alpha=2,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=2,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A0 alpha=5,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=5,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A0 alpha=10,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A0 alpha=10,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=1 B=0.000840251,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A1 K=1 B=0.000840251,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A1 K=1 B=0.000840251,pool_size,True,1.0,<=,1.0,0.0,1e-07
A1 K=1 B=0.000840251,budget,True,0.0,<=,0.0008402510770833333,0.0,1e-07
A2 K=2 B=0.000840251 Emax=1,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A2 K=2 B=0.000840251 Emax=1,cascade_ids_in_candidates,True,0.0,==,0.0,0.0,1e-07
A2 K=2 B=0.000840251 Emax=1,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A2 K=2 B=0.000840251 Emax=1,selected_model_linking,True,0.0,==,0.0,0.0,1e-07
A2 K=2 B=0.000840251 Emax=1,pool_size,True,2.0,<=,2.0,0.0,1e-07
A2 K=2 B=0.000840251 Emax=1,budget,True,0.0,<=,0.0008402510770833333,0.0,1e-07
A2 K=2 B=0.000840251 Emax=1,escalation,True,0.0,<=,1.0,0.0,1e-07
A3 K=2 B=0.000840251 Emax=1,assignment_completeness,True,240.0,==,240.0,0.0,1e-07
A3 K=2 B=0.000840251 Emax=1,cascade_ids_in_candidates,True,0.0,==,0.0,0.0,1e-07
A3 K=2 B=0.000840251 Emax=1,observed_pairs_only,True,0.0,==,0.0,0.0,1e-07
A3 K=2 B=0.000840251 Emax=1,selected_model_linking,True,0.0,==,0.0,0.0,1e-07
A3 K=2 B=0.000840251 Emax=1,pool_size,True,2.0,<=,2.0,0.0,1e-07
A3 K=2 B=0.000840251 Emax=1,budget,True,0.0007575595833333333,<=,0.0008402510770833333,0.0,1e-07
A3 K=2 B=0.000840251 Emax=1,escalation,True,0.0,<=,1.0,0.0,1e-07
