policy,stage,model_usage_entropy,model_usage_gini,top_1_model_share,top_3_model_share,num_active_models,policy_label,grid_id
Always cheapest,single,0.9790690712943904,0.7333333333333334,0.7041666666666667,0.925,8,Always cheapest,
Always best quality,single,2.3532069221671668,0.6779999999999999,0.24166666666666667,0.5875,25,Always best quality,
A0 alpha=0.1,single,1.5864319135571265,0.7902173913043478,0.5875,0.8083333333333333,23,A0 alpha=0.1,
A0 alpha=0.5,single,1.6112036026322063,0.7909722222222222,0.5833333333333334,0.8041666666666667,24,A0 alpha=0.5,
A0 alpha=1,single,1.6112036026322063,0.7909722222222222,0.5833333333333334,0.8041666666666667,24,A0 alpha=1,
A0 alpha=2,single,1.6112036026322063,0.7909722222222222,0.5833333333333334,0.8041666666666667,24,A0 alpha=2,
A0 alpha=5,single,1.6112036026322063,0.7909722222222222,0.5833333333333334,0.8041666666666667,24,A0 alpha=5,
A0 alpha=10,single,1.6112036026322063,0.7909722222222222,0.5833333333333334,0.8041666666666667,24,A0 alpha=10,
A1 K=1 B=0.000840251,single,-0.0,0.0,1.0,1.0,1,A1 K=1 B=0.000840251,
A2 K=2 B=0.000840251 Emax=1,stage1,0.6909233093138181,0.03333333333333344,0.5333333333333333,1.0,2,A2 K=2 B=0.000840251 Emax=1,
A2 K=2 B=0.000840251 Emax=1,expected_stage2,0.0,0.0,0.0,0.0,0,A2 K=2 B=0.000840251 Emax=1,
A3|K=2|budget=B_mid|Emax=1|floor=0.75|lambda=0.1|rho=0.75,stage1,0.6393632996691399,0.1625000000000001,0.6625,1.0,2,A3 K=2 B=0.000840251 Emax=1,K=2|budget=B_mid|Emax=1|floor=0.75|lambda=0.1|rho=0.75
A3|K=2|budget=B_mid|Emax=1|floor=0.75|lambda=0.1|rho=0.75,expected_stage2,0.0,0.0,0.0,0.0,0,A3 K=2 B=0.000840251 Emax=1,K=2|budget=B_mid|Emax=1|floor=0.75|lambda=0.1|rho=0.75
